stable_key,authority_name,canonical_url,content_kind,source_role,internal_fulltext,public_fulltext,rag_index,link_only,rights_policy,rights_basis,robots_status,robots_url,robots_checked_at,robots_sha256,terms_url,terms_checked_at,terms_sha256,captured_at,capture_sha256,capture_status,verification_status,review_note
"law.open-api.statutes","국가법령정보센터","https://open.law.go.kr/LSO/information/guide.do","법령·행정규칙 본문","STATUS_INDEX","REVIEW","NO","NO","YES","ALLOWED","공동활용 안내상 법령정보는 출처 표시·위조/변조 금지 조건으로 활용 가능하지만 공동활용 승인이 필요함","OBSERVED_ALLOWED","https://www.law.go.kr/robots.txt","2026-07-17","","https://www.law.go.kr/lawPetitionForm.do?menuId=13&subMenuId=79","2026-07-17","","","","NOT_CAPTURED","PENDING_REVIEW","robots는 임시 관찰만 했고 바이트를 보존하지 않았다. 공동활용 신청은 별도 접근 조건이며 승인 전 내부 전문 보존·공개·RAG를 비활성화한다. 센터 정보는 법적 효력이 없어 색인에만 사용"
"law.web.attachments","국가법령정보센터","https://www.law.go.kr/","판례·결정례·제3자 첨부","DISCOVERY_ONLY","REVIEW","NO","NO","YES","REVIEW_REQUIRED","법령 본문과 달리 판례·결정례·제3자 첨부에는 별도 권리가 있을 수 있음","OBSERVED_ALLOWED","https://www.law.go.kr/robots.txt","2026-07-17","","https://www.law.go.kr/lawPetitionForm.do?menuId=13&subMenuId=79","2026-07-17","","","","NOT_CAPTURED","PENDING_REVIEW","robots 허용은 권리 허가가 아니다. 문서별 권리 검토 전 링크만 제공하고 판정 근거로 사용하지 않음"
"gazette.pdf","대한민국 전자관보","https://www.gwanbo.go.kr/","전자관보 PDF·전자관보 DB","LEGAL_EFFECT","YES","YES","YES","NO","ALLOWED","전자관보는 저작권법 제7조 대상이라 별도 이용허락 없이 자유이용 가능하며 구체적 출처 표시가 필요함","OBSERVED_NOT_FOUND","https://www.gwanbo.go.kr/robots.txt","2026-07-17","","https://www.gwanbo.go.kr/user/info/copyright.do","2026-07-17","","","","NOT_CAPTURED","VERIFIED","robots 404 오류 본문은 정책 해시로 저장하지 않았다. 전자관보 외 홈페이지 게시물·제3자 자료는 별도 검토하며 개별 문서는 캡처 매니페스트 등록 시에만 완료로 봄"
"gazette.speculation-area-captures","대한민국 전자관보","https://www.gwanbo.go.kr/","투기지역 지정·해제 관보 PDF 4건","LEGAL_EFFECT","YES","YES","YES","NO","ALLOWED","전자관보 저작권정책과 출처 표시 조건을 적용함","OBSERVED_NOT_FOUND","https://www.gwanbo.go.kr/robots.txt","2026-07-17","","https://www.gwanbo.go.kr/user/info/copyright.do","2026-07-17","","2026-07-17","sha256:15ba1f67db608c318c8311de655d1986298bfd3720d6a4a8dee516858a649c95","IMMUTABLE_CAPTURED","VERIFIED","robots 404 오류 본문은 정책 해시로 저장하지 않았다. capture_sha256은 captures/manifest.csv의 집합 매니페스트 해시이며 PDF 4건의 원문 해시·바이트·렌더 검수는 해당 매니페스트 참조"
"molit.legal-notices","국토교통부","https://www.molit.go.kr/USR/I0204/m_45/lst.jsp","고시·공고 본문과 공식 붙임 문서군","LEGAL_EFFECT","REVIEW","REVIEW","REVIEW","YES","REVIEW_REQUIRED","문서군별 공공누리·제3자 권리와 정정/취소·붙임을 함께 확인해야 함","OBSERVED_REDIRECT_LOOP","https://www.molit.go.kr/robots.txt","2026-07-17","","https://www.molit.go.kr/USR/WPGE0201/m_121/DTL.jsp","2026-07-17","","","","NOT_CAPTURED","PARTIAL","robots와 저작권정책 URL 모두 자기 리디렉션 반복을 관찰했고 바이트를 보존하지 않았다. 상세 페이지와 붙임 URL·버전·해시를 별도 등록"
"molit.boundary-attachments","국토교통부","https://www.molit.go.kr/USR/I0204/m_45/lst.jsp","고시 붙임 지번·도면·공간 파일","BOUNDARY","REVIEW","NO","NO","YES","REVIEW_REQUIRED","본문과 첨부의 공공누리·제3자 권리를 별도로 판정해야 함","OBSERVED_REDIRECT_LOOP","https://www.molit.go.kr/robots.txt","2026-07-17","","https://www.molit.go.kr/USR/WPGE0201/m_121/DTL.jsp","2026-07-17","","","","NOT_CAPTURED","PENDING_REVIEW","robots와 저작권정책을 판독하지 못했다. 공고 상세 페이지를 부모 URL로 두고 파일 URL·필지조서·GIS·해시를 별도 기록"
"molit.press-releases","국토교통부","https://www.molit.go.kr/USR/NEWS/m_71/lst.jsp","보도자료·정책 설명","EXPLANATION","REVIEW","REVIEW","REVIEW","YES","REVIEW_REQUIRED","보도자료별 공공누리 표시를 확인하며 법적 효력은 관보·공고 문서군으로 재검증해야 함","OBSERVED_REDIRECT_LOOP","https://www.molit.go.kr/robots.txt","2026-07-17","","https://www.molit.go.kr/USR/WPGE0201/m_121/DTL.jsp","2026-07-17","","","","NOT_CAPTURED","PARTIAL","robots와 저작권정책을 판독하지 못했다. 발견·설명용이며 지정·세율 판정의 직접 근거로 사용하지 않음"
"molit.policy-handbooks","국토교통부","https://www.molit.go.kr/USR/policyData/m_34681/dtl.jsp?id=4818","주택업무편람 PDF·연혁표","STATUS_INDEX","REVIEW","REVIEW","REVIEW","YES","REVIEW_REQUIRED","공식 편람은 이력 누락 탐지용이며 문서별 공공누리·첨부 권리를 확인해야 함","OBSERVED_REDIRECT_LOOP","https://www.molit.go.kr/robots.txt","2026-07-17","","https://www.molit.go.kr/USR/WPGE0201/m_121/DTL.jsp","2026-07-17","","","","TEMPORARY_NOT_RETAINED","PARTIAL","robots와 저작권정책을 판독하지 못했다. 2024 편람 임시 해시는 과거 로컬 관찰값이며 불변 캡처나 법적 판정 근거가 아님"
"mofe.policy-explanations","재정경제부·구 기획재정부","https://www.mofe.go.kr/","세제 정책 설명·과거 게시물","EXPLANATION","REVIEW","REVIEW","REVIEW","YES","REVIEW_REQUIRED","항목별 공공누리 표시와 발행 당시 기관을 개별 확인해야 함","OBSERVED_PATH_RULES","https://www.mofe.go.kr/robots.txt","2026-07-17","","https://www.mofe.go.kr/mn/siteguide/drmp.do?menuNo=2030000","2026-07-17","","","","NOT_CAPTURED","PARTIAL","검색·설문 일부 제한과 관련 문서 경로 허용을 임시 관찰했지만 바이트는 미보존. 정책 설명은 관보·법령 발견에만 사용"
"mofe.legal-notices","재정경제부·구 기획재정부","https://mofe.go.kr/lw/denm/TbDenmList.do?bbsId=MOSFBBS_000000000120&menuNo=7090200","고시·공고와 공식 붙임","LEGAL_EFFECT","REVIEW","REVIEW","REVIEW","YES","REVIEW_REQUIRED","고시·공고별 공공누리와 붙임 권리를 확인하고 관보와 대조해야 함","OBSERVED_PATH_RULES","https://www.mofe.go.kr/robots.txt","2026-07-17","","https://www.mofe.go.kr/mn/siteguide/drmp.do?menuNo=2030000","2026-07-17","","","","NOT_CAPTURED","PENDING_REVIEW","관련 /lw 경로 허용을 임시 관찰했지만 바이트는 미보존. 문서번호·시행일·정정/취소·붙임 해시 확인 전 판정 비활성"
"mofe.tax-interpretations","재정경제부","https://mofe.go.kr/lw/intrprt/TaxLawIntrPrtCaseList.do?bbsId=MOSFBBS_000000000237&menuNo=8120300","세법해석 사례","STATUS_INDEX","REVIEW","NO","NO","YES","REVIEW_REQUIRED","일반 사례와 신청인 특정 사실관계의 권리·적용 범위를 분리해야 함","OBSERVED_PATH_RULES","https://www.mofe.go.kr/robots.txt","2026-07-17","","https://www.mofe.go.kr/mn/siteguide/drmp.do?menuNo=2030000","2026-07-17","","","","NOT_CAPTURED","PENDING_REVIEW","관련 /lw 경로 허용을 임시 관찰했지만 바이트는 미보존. 보편적 법적 효력으로 사용하지 않고 관보·법령·세무 검수로 재확인"
